gene	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
RPS10P14	0	0	0	0	0	0	0	2
RP13-278H16.2	0	0	0	0	0	0	0	0
KB-1683C8.1	5	5	0	0	3	1	0	0
CTA-268H5.9	0	0	0	0	0	0	0	0
CENPBD1P1	685	560	705	375	693	849	658	593
RP11-284B18.3	0	1	0	2	1	2	2	2
RP11-342F17.1	1	0	0	0	0	0	0	0
CTC-451P13.1	357	284	116	80	131	151	102	104
UGT2B11	0	0	0	0	0	0	0	0
MT1P1	0	0	0	0	0	1	0	0
ZNF134	323	260	476	185	451	503	290	291
ACTBP2	21	30	16	26	24	93	19	44
KRT8P37	0	0	0	0	0	0	0	0
RP11-385J23.1	11	6	4	8	3	8	4	6
AC010904.1	0	1	0	0	0	0	0	0
CTD-2224J9.8	5	1	12	5	7	7	7	6
HNRNPA1P32	0	0	0	0	0	0	0	0
RP11-452G18.1	0	0	0	0	0	1	0	0
PSMC1P2	0	0	0	0	0	0	0	0
DDX47	25	16	29	13	29	31	27	23
RPL35P4	0	0	0	0	0	0	0	0
RP11-449L13.2	0	0	0	0	0	1	0	0
NHP2P2	0	0	0	0	0	0	0	0
RPL7AP38	0	0	0	0	1	0	0	0
RP11-941H19.2	1	0	0	0	0	2	1	0
ZNF888	13	12	22	2	17	22	12	7
AC004129.9	0	0	0	0	1	0	0	0
ZNF845	145	112	210	107	182	257	142	156
ZNF816-ZNF321P	0	0	0	0	0	0	0	0
KLRK1	0	0	1	0	0	0	0	0
CNN2P4	4	11	2	3	5	7	0	4
RPL13P2	1	1	1	0	0	1	1	1
CEACAM18	0	0	0	0	0	0	0	0
AC017028.1	0	0	0	0	0	0	0	0
RP11-3J10.4	107	88	115	72	104	137	69	101
SUGT1P2	1	1	1	1	1	2	3	0
AC098614.2	396	564	714	502	886	1541	518	649
AC104306.1	0	0	0	0	0	0	1	1
RP11-324J13.1	1	1	0	1	0	0	1	0
EMP2	809	1001	996	1025	706	1515	832	1354
CNN2P6	0	1	0	0	0	0	0	0
RP11-12M9.4	0	0	0	3	0	0	1	2
KCTD11	592	534	802	471	556	958	459	514
RPL21P75	1550	1545	1896	865	1865	1831	1351	1237
CTD-2270N23.1	64	54	36	15	54	56	37	25
XX-C2158C12.2	11	3	3	4	6	6	4	3
EEF1B2P2	4	6	4	9	1	5	4	4
C8orf44	47	51	65	49	73	84	50	49
YBX1P10	219	202	201	112	214	236	119	130
RP11-829H16.2	0	0	0	0	0	3	0	0
TAF9BP1	1	1	4	0	0	1	0	2
AC092798.2	0	0	1	0	0	4	2	1
RP11-678D18.1	0	0	0	0	0	0	0	0
AC005019.2	1	1	2	2	1	1	1	0
RPL7AP64	0	0	0	0	0	0	0	0
CFL1P7	0	0	1	0	0	0	0	0
NPM1P6	152	147	261	150	240	279	208	196
CYB5P4	0	0	0	0	0	0	0	0
RPL13AP7	681	656	657	326	548	792	545	458
AC005003.1	35	17	58	12	28	23	30	23
PPM1N	15	36	19	23	7	17	22	29
RPL3P6	1	2	1	0	0	1	0	1
CEACAM16	0	0	0	0	0	0	0	0
RP11-546M4.1	0	0	0	0	0	0	0	0
SLC23A3	66	82	44	42	62	50	41	67
LTB4R	49	50	75	28	68	73	58	72
LIPE-AS1	5	2	3	0	7	4	4	2
CYP2A7P1	0	0	0	0	0	0	0	0
RPL5P8	0	0	5	2	3	2	1	2
DNASE1	447	223	498	213	576	508	520	348
MDP1	1	1	0	0	1	1	0	1
LEUTX	0	0	0	0	0	0	0	0
AC011500.1	0	0	4	0	0	1	1	0
CSNK1E	2561	2473	2895	1693	2742	3527	1856	2347
NPM1P33	1	1	1	0	0	0	0	2
MSRB1P1	0	0	0	0	0	0	0	0
CCL27	0	0	0	0	0	0	0	0
IRF9	42	37	72	26	55	48	45	46
HBE1	2	0	1	1	1	1	0	1
HBG1	0	1	0	0	3	4	0	0
AC092610.12	0	0	0	0	2	1	1	0
CLDN9	3	0	0	0	0	1	1	0
SEPHS1P6	2	1	6	3	3	2	1	0
RP11-314A20.1	15	28	6	4	5	11	5	3
RP11-94D20.1	0	0	0	0	0	0	0	0
RP1-102E24.1	10	8	4	2	19	13	5	3
KRT18P17	0	0	1	2	0	0	1	1
DNAJB1P1	2	1	0	1	2	1	0	0
ITGA1	773	1242	1103	780	1500	2405	730	1367
RPS10P2	2	0	2	1	0	3	1	1
AC018867.1	0	0	1	0	2	0	1	0
RP11-280O24.1	0	0	0	0	0	1	0	0
RP11-269M20.1	0	0	0	1	1	2	0	0
KRT18P29	0	0	0	0	0	0	0	0
RP5-1100H13.3	0	0	0	0	0	0	0	0
API5P2	0	1	1	0	1	1	0	0
AC074286.1	26	19	45	19	33	50	38	28
CHCHD4P4	0	0	1	0	0	3	0	0
NUDT19	119	142	159	124	147	224	119	140
ZNF726	9	9	4	3	7	3	9	4
RP11-264F23.1	21	9	6	7	20	8	12	11
RP11-15H20.6	19	11	27	3	24	31	16	13
RP3-522P13.2	0	0	0	0	0	0	0	0
ZNF99	0	0	0	0	0	0	0	0
CTD-2561J22.2	4	7	8	1	6	4	1	4
TAX1BP3	40	47	50	34	47	68	65	43
RPL7AP14	1	1	0	0	1	0	2	0
AC007277.3	3	3	2	2	1	0	2	0
AP1G2	170	155	214	118	224	250	168	163
RP11-399E6.2	0	0	0	0	0	0	0	0
RP11-414H17.5	3	2	4	2	1	0	2	1
CARKD	602	518	748	410	614	802	552	620
TM6SF2	14	21	26	21	23	41	17	22
PGAM1P7	2	0	2	0	0	2	1	0
MEF2B	1	1	0	1	3	4	4	3
ATP5F1P3	0	0	0	0	0	0	0	0
AL353671.4	1	4	2	1	2	1	2	0
PCNAP3	0	0	0	0	0	0	1	0
KRT18P38	0	0	0	0	0	0	0	0
GANC	390	380	515	268	416	460	352	466
RP11-414H17.2	0	0	0	0	0	0	0	0
RP6-105D16.1	305	255	234	82	210	158	89	101
RRM2P3	2	8	4	2	3	6	1	2
RP6-218J18.2	5	2	3	0	5	4	7	4
FTLP4	0	0	0	0	1	0	0	0
TTLL3	794	684	1084	530	922	829	793	785
REPIN1	933	824	939	510	910	1249	804	714
AC012501.1	0	0	0	0	0	0	0	0
ATP5F1P4	0	0	0	0	0	0	0	0
MRPL23	485	445	457	269	489	625	365	390
ARPC3P5	1	2	0	0	2	3	1	0
ZNF891	38	28	61	26	46	53	31	30
RP11-169L17.3	1	0	0	0	0	0	0	0
AC073310.4	0	0	0	0	0	0	0	0
RP11-474D1.3	0	0	0	0	0	0	0	0
PGAM1P4	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0
RP5-944M2.3	0	2	8	3	6	3	3	3
RP6-186E3.1	0	0	0	0	0	1	0	1
SMIM7	473	459	449	257	458	653	417	398
RPS11P7	0	0	1	0	2	1	0	1
UCA1	1	0	1	0	0	0	0	0
FBXO16	1	0	0	0	0	0	0	0
ARF4P3	0	0	0	0	0	0	0	0
RPL7P17	2	1	1	0	0	3	0	1
TSPAN4	1838	1641	2377	1347	1886	2732	1826	2037
RPL6P5	0	0	0	0	0	0	0	0
RP11-549L6.2	0	0	0	0	0	0	0	0
AC011999.1	1	0	1	0	0	0	0	0
RPL21P17	0	1	0	0	0	1	1	0
RPL23AP39	0	0	0	0	0	0	0	0
CPSF1P1	0	0	2	0	1	0	0	0
GNAQP1	9	15	19	10	13	31	8	23
CPNE1	1517	1282	1714	950	1720	1865	1309	1189
CYP4F30P	0	0	0	0	0	0	1	0
ARL16	337	292	386	220	460	532	314	288
RP11-256K7.1	0	0	1	0	0	2	2	0
RP11-247I13.3	0	0	0	0	0	1	0	0
SMCO1	0	0	1	0	0	1	0	1
AC079776.2	3	4	1	1	1	0	0	1
PAXIP1-AS2	112	56	148	56	90	85	102	79
MAGEB1	0	0	0	0	0	0	0	0
TPT1P5	0	0	0	0	1	0	0	0
AC008686.1	1	1	0	0	0	0	0	0
LDHAP4	365	398	234	242	222	872	47	85
RP1-258N20.3	0	0	0	0	0	0	1	0
LYRM4	417	358	484	279	452	454	395	358
MYCBP	97	106	123	77	104	182	57	70
TDPX2	2	2	2	5	5	3	6	4
SNRPEP9	0	0	0	0	0	0	0	0
RP3-412A9.15	0	0	0	0	0	1	0	0
TMEM213	0	0	0	0	0	0	0	0
RP11-420O16.2	10	17	10	4	20	22	13	10
AC024560.3	296	230	354	189	422	400	239	261
PRCD	74	34	72	28	55	39	64	55
ACTN4P2	0	0	0	0	0	0	0	0
RPL7P60	0	1	0	0	1	0	1	0
RP11-488L18.1	0	0	1	1	3	2	0	0
LINC00887	0	0	0	0	0	0	0	0
RP11-699L21.1	1	0	0	0	0	1	0	0
RP11-332P22.2	0	0	0	1	0	1	0	0
ALG3	381	400	409	276	534	785	311	390
SDC4P	0	0	0	0	0	0	0	0
AC018696.5	0	0	0	0	1	2	0	0
AC005544.1	0	0	0	0	0	0	0	0
AMZ2P1	320	198	415	168	296	233	273	178
PLEKHM1P	617	657	684	428	663	823	538	898
PPIAP23	0	0	0	0	0	0	0	0
AC112200.1	0	0	0	0	0	0	0	0
DDX6P2	0	0	0	0	0	1	1	0
PTMAP5	216	215	223	99	404	411	175	152
AC012487.2	8	0	14	3	9	4	5	1
XPOTP1	17	19	15	14	17	14	22	10
ST7-OT4	1	0	1	0	2	1	0	2
RP11-12D24.7	0	0	0	0	0	1	0	0
UBE2V1P2	40	32	18	19	23	41	14	25
SH3D21	205	99	271	109	196	447	182	175
LINC00998	475	428	526	337	506	572	478	449
HMGN2P31	0	1	0	0	0	0	1	0
RP11-642P15.1	22	16	8	6	8	24	8	12
EEF1A1P12	1674	1502	1153	865	928	1140	1138	989
TPM3P2	0	0	0	0	0	0	0	0
RPS4XP1	3	2	0	1	2	2	2	3
HNRNPA1P43	1	1	2	0	0	0	1	0
KRT18P10	0	0	0	0	0	0	0	0
RP11-208P4.1	1	0	0	0	0	0	0	0
CTAGE14P	0	0	1	1	0	0	0	0
C19orf38	22	8	16	8	32	10	20	4
C12orf74	0	0	0	0	0	0	0	0
IQCJ	0	0	0	0	0	0	0	0
TUBBP2	16	5	12	0	8	9	8	2
HNRNPA1P10	1705	1738	1550	1061	1328	1826	1159	1216
C17orf67	28	29	37	19	44	59	38	34
FAM188B2	0	1	0	1	0	0	0	0
AL591025.1	3	1	0	1	4	6	2	2
AC004980.10	12	7	14	5	10	23	9	9
SETP21	0	0	2	0	8	3	3	3
HDHD1P3	0	0	0	0	0	0	0	0
AC010336.1	0	0	1	1	2	3	1	0
CTAGE11P	1	0	0	1	1	1	0	0
AZGP1P2	0	0	0	0	0	0	0	0
FIS1	1095	1033	1450	719	1158	1526	1086	958
AC136896.2	0	0	0	0	0	0	0	0
RPS2P6	0	0	1	0	0	0	0	1
RP11-568J23.1	0	0	0	1	0	0	0	0
ANKRD36BP1	0	0	0	0	0	0	0	0
RPSAP53	16	11	15	8	0	2	4	3
RP11-356J5.5	11	7	5	8	2	16	3	5
STARP1	0	0	0	0	0	0	0	0
RPS3AP33	0	0	0	0	0	0	0	0
LGMNP1	2	5	3	3	9	8	6	8
AGGF1P1	5	3	2	1	0	2	0	2
ANG	43	77	49	58	38	100	37	91
CTD-2228K2.2	0	0	0	0	0	0	0	0
RP11-108K14.4	58	32	61	28	78	73	47	32
RP11-553K23.2	15	18	12	8	14	20	12	15
HMGN2P39	0	0	0	0	0	0	0	0
KRT8P14	1	5	7	4	2	5	0	1
RP11-85F14.1	0	0	0	0	0	0	0	0
NPS	0	0	0	0	0	0	0	0
PDCL3P3	0	0	0	0	0	0	0	0
HMGB3P13	0	0	0	0	0	0	0	0
RPL39P5	1	2	0	0	0	3	0	1
COLCA2	17	8	12	1	4	6	5	5
RSBN1L-AS1	119	117	169	94	114	186	144	114
FOXO1B	0	0	0	0	0	0	0	0
ALDOAP2	1	1	1	1	5	0	0	0
MRPS21P6	0	0	0	0	0	1	0	0
SPDYE3	49	50	65	49	81	103	51	57
RP11-91K8.4	0	0	0	0	0	0	0	0
AP001024.1	0	0	0	0	0	0	0	0
AP001024.2	0	0	0	0	0	0	0	0
MBLAC1	17	17	28	8	18	35	31	22
AZGP1P1	0	1	0	0	0	0	0	0
AC073063.1	0	0	0	0	0	0	0	0
ATP5G1P6	0	0	0	0	0	0	0	0
CXADRP1	0	0	0	0	0	0	1	0
CBX1P4	0	0	0	0	0	0	0	0
CBX1P2	1	0	0	0	0	0	0	0
C3orf56	0	0	0	0	0	0	0	0
AC025287.1	0	0	1	0	1	0	1	0
RPL31P1	0	0	0	0	0	0	0	0
SLC9B1P2	0	0	1	0	0	0	1	0
ABCD1P5	0	0	0	0	0	0	0	0
RP11-252A24.2	199	157	149	67	157	212	175	172
CTAGE16P	0	0	0	0	0	0	0	0
FOXI3	0	0	0	0	0	0	0	0
ATP5F1P2	0	0	0	0	0	0	0	0
OR4F13P	0	0	0	0	0	0	0	0
CTB-180A7.8	1	0	0	0	0	0	0	0
OR1X5P	0	0	0	0	0	0	0	0
VAC14-AS1	0	3	8	1	2	3	6	4
AC133644.3	1	1	1	0	1	2	0	0
NEURL1B	206	102	224	73	76	115	154	98
RPL18P10	0	1	1	0	0	0	0	0
EFCAB9	1	1	0	2	0	1	0	0
RP11-7D5.2	0	0	0	1	1	0	0	0
RP11-138H14.1	1	1	0	1	1	2	1	1
HAUS3	184	157	237	131	208	225	163	163
AC009967.3	0	0	0	0	0	0	0	0
RPLP2P1	0	0	0	0	0	0	0	0
VSTM5	13	10	14	10	20	36	19	9
RP11-457K10.2	0	0	0	0	0	0	0	0
LINC00488	0	0	0	0	0	0	0	0
RPS3AP26	4468	4483	4109	2297	3594	4194	2849	2799
RP11-121L10.3	583	249	451	113	337	343	273	132
DKFZP779J2370	0	0	0	0	0	0	0	0
KANSL1-AS1	14	24	11	7	33	57	21	21
LCNL1	214	130	145	40	135	60	100	52
RP11-40M23.1	0	0	0	0	0	0	0	0
RP11-221J22.1	0	0	0	0	0	0	0	0
BBIP1	191	198	274	184	292	317	186	161
TRIM77	0	0	0	0	0	0	0	0
GNAT3	0	0	0	0	0	0	0	0
KRT18P13	0	0	0	0	0	0	0	0
FAM149B1P1	0	1	2	1	3	1	1	0
LRRC37A4P	880	591	1116	486	552	758	857	787
NPM1P10	0	0	0	0	0	0	0	0
CYCSP6	0	1	0	1	1	2	0	0
AC068831.10	6	1	7	2	5	9	2	0
AC091167.3	4	2	1	3	2	0	3	1
NIFKP1	0	0	0	0	0	0	0	0
AS3MT	0	0	0	0	1	0	0	0
FAM185BP	25	17	29	14	18	11	24	23
FAM187A	0	0	0	0	0	0	0	0
RCN1P2	846	663	914	553	724	954	724	601
PLIN5	0	6	0	0	0	1	1	1
RPL7P29	0	0	0	0	0	0	0	0
TPT1P6	19	11	6	12	2	11	3	10
SMARCE1P6	0	0	1	3	1	0	1	0
AL139333.1	0	0	0	0	0	0	0	0
AC074008.1	0	0	0	0	0	1	0	0
RPL7P1	3269	3129	3393	1973	3125	3421	2373	2292
OR7E148P	0	1	0	0	3	0	1	1
SEC14L6	3	5	1	1	7	8	24	28
SPINK13	2	0	4	0	0	0	0	0
HIGD1C	0	0	0	0	0	1	1	1
NOTO	0	0	0	0	0	0	0	0
KRT42P	0	0	0	0	0	0	0	0
PPME1	753	649	742	488	897	1487	593	624
KRTAP2-2	1	1	0	0	0	0	1	0
AC130709.1	0	1	2	0	0	2	0	0
AP000343.1	0	0	0	0	0	0	0	0
STARD10	78	35	122	47	105	96	120	80
KRT18P33	0	0	0	0	0	0	0	0
ZNF705E	0	2	0	2	4	4	1	7
RPS15AP1	83	104	51	45	50	72	51	49
RPS4XP3	17	23	1	3	2	4	5	4
GTF2IRD2P1	476	359	574	343	568	704	379	439
AC087491.2	1	0	2	0	0	0	0	0
MEG3	11225	7622	13316	4701	12787	11257	11382	7305
SDHCP2	0	0	1	1	0	0	0	0
COPS8P2	2	3	2	0	0	2	0	3
LRRC37A11P	0	1	3	1	2	3	5	1
C17orf98	0	0	0	0	0	0	0	1
RP11-74E24.2	208	170	199	139	225	248	156	161
RP11-323J4.1	1	3	0	2	1	0	0	0
RPL21P41	0	0	0	0	0	0	0	0
RBBP4P4	1	0	0	0	0	0	0	0
NUTM2D	220	203	240	141	214	259	214	205
GAPDHP15	0	0	1	0	1	2	0	0
GAPDHP41	0	0	0	0	0	0	0	0
CPEB1	524	296	454	160	350	162	400	253
HMGN2P15	17	12	34	20	33	38	31	10
RP11-80F22.10	0	0	0	0	0	0	0	0
PGGT1BP2	3	0	1	3	2	2	0	1
RP11-65N13.6	7	6	4	1	5	4	3	0
EML6	8	12	6	4	15	31	15	16
CTBP2P5	0	0	0	0	0	0	0	0
NPM1P36	0	0	0	0	0	0	0	0
ADAM24P	0	0	0	0	0	0	0	0
RPS19P1	13	12	4	2	6	7	3	3
RP11-989E6.3	0	0	0	0	0	0	0	0
SLC6A10P	8	6	3	3	6	7	5	4
POLR3DP1	0	1	0	0	0	0	0	0
RP11-392M9.2	0	0	0	0	0	0	0	0
RPSAP6	0	3	0	0	1	0	0	0
RP11-793K1.1	0	0	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0	0	0
AL162389.1	0	2	1	0	1	0	0	0
RP11-114H24.4	7	13	9	8	12	23	5	7
RP11-83B20.1	2	0	0	0	1	0	1	1
RP11-477J21.2	0	0	0	0	1	0	1	0
RP11-3N2.13	0	0	0	0	0	1	1	0
HNRNPA3P3	100	103	101	54	105	138	59	72
RP11-27I1.4	24	22	33	13	25	41	19	19
ZSWIM8	1731	1451	1691	885	1847	2157	1392	1567
RP11-120J4.1	0	0	0	0	0	0	0	0
KRT8P26	1	3	14	4	5	4	1	5
SLC29A4P2	0	0	0	0	0	0	0	0
RP11-18B16.1	0	0	0	0	0	0	0	0
AC007956.1	0	0	0	0	0	0	0	0
RPL6P12	0	0	2	0	0	0	0	0
RPL9P16	1	0	0	0	0	1	0	0
IQCF5	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0	0	0
C10orf105	6	1	17	3	3	12	5	4
AC104654.1	0	0	1	0	0	0	0	0
ARHGEF33	18	10	21	10	15	11	20	13
NPAP1P2	0	0	0	0	0	0	0	0
AC007347.1	0	0	0	0	0	0	0	0
C12orf71	0	0	0	0	0	1	2	0
RP11-247C2.1	0	0	3	0	0	0	0	1
AC090616.2	2	0	2	1	3	2	4	1
CAPN14	14	8	10	2	9	9	10	11
ZBED1	644	597	663	488	776	1046	490	779
AC005562.1	3	6	5	3	4	6	3	5
KRT18P49	0	0	0	0	0	0	0	1
CDIPT-AS1	3	1	6	3	3	13	4	6
RPL5P35	0	0	0	0	0	0	0	0
RP1-139D8.6	0	0	0	0	0	0	0	0
TOMM6	0	0	0	0	0	0	0	0
MRPS5P3	0	0	0	0	0	0	0	0
RP11-54I5.1	0	1	0	0	0	0	0	0
RP11-332E4.1	0	0	0	0	0	2	0	0
HNRNPUL2	760	707	673	522	757	897	529	665
AC004870.5	0	0	0	0	2	2	0	0
METTL12	50	39	68	24	53	60	38	30
CTD-2509G16.1	0	0	0	0	0	0	0	0
RPL21P1	35	31	1	1	9	9	3	2
HNRNPA1P15	1	2	0	0	0	3	0	2
SEPT7P2	221	160	295	135	174	222	256	182
RP11-544I20.2	2	1	3	1	7	2	3	1
RP11-174G6.1	1	1	1	1	0	1	1	0
RP11-717D12.1	0	0	0	0	1	0	0	0
RP11-726G1.1	33	12	21	6	0	1	18	6
MS4A18	0	0	0	0	0	0	0	0
AC010468.1	646	614	679	318	610	679	451	444
MS4A4E	0	2	0	0	0	1	1	0
OOSP1	0	0	0	0	0	0	0	0
KRT18P42	0	0	0	0	0	0	0	0
RP11-480I12.5	2	1	2	2	0	1	0	1
RP11-1036E20.9	0	0	0	0	0	0	0	0
RP11-37N22.1	0	0	1	0	2	5	1	0
NPM1P31	1	0	0	0	0	0	0	0
CYCSP55	22	35	30	17	29	62	21	16
RP5-1053E7.3	0	1	0	0	1	1	2	0
FER1L6	312	24	193	28	501	65	789	76
AC008265.2	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0
MPRIPP1	75	39	89	41	108	105	58	61
HMGB1P4	2	3	1	1	0	3	1	0
KRT16P3	0	0	0	0	0	0	0	0
NXT1P1	0	0	0	0	0	0	0	0
EI24P3	0	0	0	0	0	0	0	0
DDX12P	94	61	92	26	111	72	55	47
UPF3AP2	182	163	208	122	238	264	182	171
RPL23AP6	0	0	0	0	0	0	0	0
RP11-261C10.3	34	24	73	23	45	45	38	21
AC005493.1	0	0	0	0	0	0	0	0
RAD51AP2	0	0	0	0	0	0	0	0
ZFYVE9P2	0	0	0	0	0	0	0	0
AC007952.1	0	0	0	0	0	0	0	0
RP11-115L11.1	5	9	2	4	11	13	5	3
LINC00612	4	1	5	3	0	2	9	0
RP11-509M23.1	0	0	0	0	0	0	0	0
AL031590.1	0	0	0	0	0	0	0	0
APOC1P1	3	0	1	2	3	4	1	0
KRT16P1	0	0	0	0	0	0	0	0
SHFM1P1	8	9	2	4	3	4	3	5
EVPLL	0	0	0	0	0	0	0	0
DCDC2C	0	0	0	0	0	0	0	0
SRSF9P1	3	0	3	1	1	0	2	1
TPM3P4	0	0	1	0	0	0	0	0
AC004540.5	1	0	0	0	0	0	0	0
AC005082.1	3	0	0	0	1	0	1	0
SMTNL1	6	4	2	2	3	4	11	9
MED28P1	0	0	0	0	0	0	1	0
RPL5P31	0	0	0	0	0	0	0	0
OR7E5P	0	0	0	0	0	0	0	0
TMEM14D	12	10	12	4	11	15	7	11
RP11-574M7.2	0	0	0	0	0	0	0	0
FAM177A1P1	0	0	0	0	0	0	0	0
XXyac-YM21GA2.7	0	0	0	0	0	0	2	0
RPS9P1	0	0	0	0	0	0	0	0
CTD-2299I21.1	0	0	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0	0	0
RPSAP55	3	0	3	0	0	2	2	0
C14orf182	4	3	6	5	6	11	2	4
RPS15AP3	0	0	0	0	0	0	0	0
DUTP8	0	0	0	0	0	0	0	0
RP11-229M1.2	0	0	0	0	1	2	0	0
RPL23AP3	9	7	12	8	10	14	6	4
XX-FW80269A6.1	0	0	0	0	0	0	0	0
RP11-53I6.1	0	1	3	1	2	1	0	3
AC104472.1	0	0	0	0	0	0	0	0
AC003102.1	0	0	0	0	0	0	0	0
HLA-F-AS1	37	13	21	6	44	29	51	30
SPATA31D1	0	0	0	0	0	0	0	0
KRT8P6	0	0	0	0	0	0	0	0
NPIPA8	778	950	1134	832	1045	1401	876	1056
ZSWIM7	142	112	129	84	168	158	160	100
AC113167.1	0	0	0	0	0	0	0	0
GPR33	0	0	0	0	0	0	0	0
ARHGEF28	354	544	459	698	565	1184	363	872
TBC1D26	0	0	0	0	0	0	1	0
LRRC69	10	10	16	7	11	17	10	18
AP000318.2	0	0	1	0	4	0	1	1
ISPD	19	12	21	11	18	20	10	23
RP11-355K23B.1	6	0	9	4	13	3	5	6
CTC-297N7.7	0	0	0	0	0	0	0	0
CHCHD3P3	15	13	15	13	25	15	18	22
PPIAP29	1221	1212	1610	928	1592	1953	977	1039
VDAC2P1	0	0	0	0	0	0	0	0
RP11-477N12.3	0	0	0	0	0	0	0	0
RP11-274J2.1	5	7	2	2	3	10	2	1
PARGP1	310	232	355	182	350	412	250	322
AL591516.5	0	0	2	0	0	0	0	0
FAM25D	0	0	1	0	0	0	0	0
RPL7AP26	0	0	1	0	0	0	0	0
AKAP17BP	0	1	0	0	0	0	0	0
AC006465.4	0	0	0	0	0	0	1	0
AC129492.6	0	0	0	0	0	0	0	0
RP1-31B8.1	0	0	0	0	0	0	0	0
RP11-446H13.2	0	0	0	0	0	0	1	0
RPL15P20	9	8	2	1	2	3	0	1
MESTP4	0	0	0	0	0	0	0	0
HSPD1P7	1	0	1	1	0	0	0	0
DNAJA1P3	3	4	2	0	3	0	0	1
ACSM4	0	0	0	0	2	2	0	0
C22orf29	315	291	407	276	404	810	291	371
AL645728.1	7	8	12	6	8	13	11	7
RPL24P7	0	0	0	0	1	2	0	0
COL28A1	2	12	4	10	1	4	2	15
AL591684.1	0	0	0	0	0	0	0	0
RP1-257A7.4	10	8	10	4	11	13	16	8
AC114730.5	0	0	0	0	0	0	0	0
RPL13P12	3421	3329	1958	1026	2582	3433	1573	1614
GNL3LP1	0	0	0	0	2	0	0	0
AL603965.1	1	2	6	9	2	16	5	7
DSTNP4	0	0	0	0	0	0	0	0
FDPSP5	0	1	0	0	0	0	0	0
VENTXP2	0	0	0	0	0	0	0	0
CD27-AS1	271	275	369	227	258	264	247	267
NEURL4	321	265	301	151	331	399	246	258
GLULP6	0	0	0	0	0	0	0	0
GRID2IP	0	1	0	1	1	0	0	2
TCP11X1	0	0	0	0	0	0	0	0
PRDX2P1	0	1	1	0	0	0	0	0
PKMP5	1	0	1	0	1	2	0	0
RPL21P2	1	1	0	0	0	3	0	0
DUSP8P4	2	1	1	2	0	2	1	4
C9orf38	0	1	1	0	0	0	0	0
AC027763.2	50	40	43	34	64	65	50	41
AC025171.1	79	31	84	31	99	126	60	68
XRCC6P5	0	0	0	0	0	0	0	0
RP11-471G13.2	0	0	0	0	0	0	0	0
NPM1P24	23	24	56	18	47	46	33	31
KRT18P11	0	0	0	0	0	0	0	0
EEF1A1P29	72	50	36	27	32	37	24	22
RP11-244K5.7	0	0	0	0	0	0	0	0
IFITM8P	0	0	0	0	0	0	0	0
DUSP8P3	4	1	1	4	2	1	1	6
TERF1P4	17	13	12	6	22	14	12	7
CHMP1B2P	1	0	1	1	0	0	0	3
TTC3P1	326	193	298	126	543	487	327	291
RP11-790I12.1	0	0	0	0	0	0	0	0
FAM74A5	0	0	0	0	0	0	0	0
CXorf49B	0	0	2	1	0	1	0	0
UBXN2B	449	311	637	279	502	603	531	408
CXorf49	0	0	2	1	0	1	0	0
LINC00588	0	0	0	0	0	0	0	0
AL590763.5	0	0	0	1	0	0	0	0
RP3-420J14.1	0	0	0	0	0	0	0	0
CBWD7	330	290	315	219	387	500	302	277
SYT14L	0	0	0	0	0	0	0	0
C16orf90	0	0	1	0	0	0	0	0
RP11-292B8.1	26	32	26	43	2	3	69	120
RP11-313J2.1	8	3	21	13	38	60	26	16
PRSS41	0	0	0	0	0	0	0	0
KRT18P32	0	0	0	0	0	0	0	0
ABCD1P2	0	0	0	0	0	0	0	0
AC141586.5	106	60	113	30	112	139	152	133
RP11-1023L17.2	0	5	6	1	1	3	2	0
RP11-1023L17.1	93	72	127	78	120	124	114	88
RP11-629N8.3	1	0	1	1	0	0	0	1
OR7E122P	0	0	0	0	0	0	0	0
LINC00269	0	0	0	0	0	0	0	0
RP11-403F21.3	0	0	0	0	0	0	0	0
RP11-30M20.1	0	0	0	0	0	0	0	0
RP13-487C10.1	0	0	1	1	0	0	0	0
IGLV8OR8-1	0	0	0	0	0	0	0	0
MAPK6PS4	0	0	4	0	0	2	1	0
MUC5AC	0	0	0	0	0	0	0	0
MSMP	0	0	0	0	0	0	0	0
RP11-8L18.2	0	0	0	0	0	0	0	1
GOLGA6B	1	0	7	0	1	0	2	1
FAM166B	0	0	1	2	3	1	1	2
LINC00680	216	112	160	60	268	210	134	102
PEX26	969	763	1125	717	1240	1530	946	953
AC091878.1	51	28	58	9	57	52	44	25
PGAM4P1	0	0	0	0	0	0	0	0
RP11-182N22.7	0	0	0	1	0	1	0	0
YWHAZP6	9	10	3	3	5	6	3	6
GRXCR1	0	0	0	0	0	0	0	0
TRBV24OR9-2	0	0	0	0	0	0	0	0
KRT18P60	1	0	0	0	1	2	0	0
RBMXP2	19	18	40	10	33	24	27	32
C5orf49	1	1	1	0	0	1	0	1
UBE2QL1	0	0	0	0	0	0	1	0
